"species","birdID","date","longitude","latitude","dayOfYear","delta","h","The_turbidity_factor","C_t","I_h","D_h","G_h"
"Black-crowned night heron","Parker","27-05-2017",-77.126,38.917,147,-17.6328659945176,1.56959809689347,0.80351934583988,1.03005135470609,993.493647914759,48.405091399641,1041.8987393144
"Black-crowned night heron","Parker","27-05-2017",-77.126,38.917,147,-17.6328659945176,1.56959809689347,0.80351934583988,1.03005135470609,993.493647914759,48.405091399641,1041.8987393144
"Black-crowned night heron","Parker","06-08-2017",-77.051,38.93,218,-23.1073568812946,0.776300136293681,0.805853883531469,0.97558850714503,625.473027878633,40.5846798517564,666.057707730389
"Black-crowned night heron","Parker","21-08-2017",-77.051,38.879,233,17.2090673151884,-1.24958043647794,0.78866137854363,1.00315541144246,-1176.86745765321,705.63998009039,-471.227477562825
"Black-crowned night heron","Parker","28-08-2017",-81.02,29.13,240,23.2581851373002,1.15942588231515,0.786081797382814,1.02462001155358,875.728277099132,45.4052964633286,921.13357356246
"Black-crowned night heron","Parker","28-08-2017",-80.822,28.976,240,23.2581851373002,1.00542588231515,0.786081797382814,1.02462001155358,797.038839621129,43.5926579112757,840.631497532405
"Black-crowned night heron","Parker","30-08-2017",-81.348,22.468,242,-6.32741593381355,-1.04971427528948,0.79869825839395,1.01107656438819,-1112.22631282575,1059.4659798352,-52.7603329905448
"Black-crowned night heron","Parker","14-09-2017",-81.537,22.563,257,-14.093439029287,0.52812351300438,0.802009995321658,0.970681677333743,414.325237127571,33.776044700308,448.101281827879
"Black-crowned night heron","Smith","02-07-2016",-77.0536,38.9313,184,8.39499122816155,0.691178562735412,0.792420046384579,1.03323613201999,581.831452338679,37.946269358174,619.777721696854
"Black-crowned night heron","Smith","17-07-2016",-76.559,38.781,199,-22.4927388151178,0.0126820701168485,0.805591786275104,0.979411236613302,0.00048315741019862,11.1911904930169,11.1916736504271
"Black-crowned night heron","Smith","17-07-2016",-76.556,38.781,199,-22.4927388151178,0.0126820701168485,0.805591786275104,0.979411236613302,0.00048315741019862,11.1911904930169,11.1916736504271
"Black-crowned night heron","Smith","17-07-2016",-76.561,38.779,199,-22.4927388151178,0.0106820701168531,0.805591786275104,0.979411236613302,5.97122840555415e-05,11.0871745427642,11.0872342550482
"Black-crowned night heron","Smith","19-07-2016",-76.092,39.535,201,14.8890857526798,1.08396934539674,0.78965070970035,0.983964725774323,810.341396420379,44.8005123510609,855.14190877144
"Black-crowned night heron","Smith","30-07-2016",-76.092,39.495,212,-20.1332261723442,-1.50876208093301,0.804585597514859,0.969948165911799,-1212.88663889721,600.820339929169,-612.06629896804
"Black-crowned night heron","Smith","07-09-2016",-75.384,39.225,251,-6.42566192600781,-0.0975684489558075,0.798740154339449,0.976660202533943,-394.557076769902,5.67123966856944,-388.885837101332
"Black-crowned night heron","Smith","28-09-2016",-75.667,37.637,272,23.4492341518748,-0.050598906971158,0.786000326587687,1.03346898632151,-734.0424821115,7.76756061825756,-726.274921493242
"Black-crowned night heron","Smith","28-10-2016",-80.999,26.366,302,-5.96162091390588,0.659101948786951,0.798542269046442,0.999248714944525,540.243453348112,37.421267706938,577.66472105505
"Black-crowned night heron","Smith","04-11-2016",-81.027,26.347,309,8.29958536402694,0.768655041229196,0.792460731188048,1.02176569492242,638.223551091685,39.7449934819434,677.968544573628
